epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1913.35,0.65737,0.59045,1.00207,0.94729,0.88752,0.95107,0.86524,0.43055,0.42158,0.81666,9.9093e-05,9.9093e-05,9.9093e-05
80,1937.2,0.65215,0.5854,0.98645,0.92804,0.91744,0.95009,0.86724,0.43261,0.42441,0.81745,9.47865e-05,9.47865e-05,9.47865e-05
81,1961.42,0.63552,0.58011,0.98769,0.94383,0.88893,0.94648,0.86166,0.43266,0.41829,0.8189,9.048e-05,9.048e-05,9.048e-05
82,1985.63,0.65364,0.57982,0.99986,0.95116,0.88855,0.9461,0.85754,0.42861,0.4072,0.81616,8.61735e-05,8.61735e-05,8.61735e-05
83,2009.79,0.6559,0.58482,0.9967,0.94086,0.91362,0.95055,0.85963,0.43608,0.40737,0.81776,8.1867e-05,8.1867e-05,8.1867e-05
84,2033.49,0.63569,0.5718,0.98972,0.93579,0.90018,0.95026,0.8648,0.42294,0.40849,0.81576,7.75605e-05,7.75605e-05,7.75605e-05
85,2057.15,0.63967,0.56917,0.99088,0.94999,0.8814,0.94666,0.86347,0.42675,0.40981,0.81548,7.3254e-05,7.3254e-05,7.3254e-05
86,2080.43,0.62953,0.54429,0.99554,0.94233,0.90117,0.94989,0.85705,0.43644,0.39834,0.81777,6.89475e-05,6.89475e-05,6.89475e-05
87,2104.31,0.63674,0.56748,0.98777,0.942,0.89246,0.94386,0.86011,0.41925,0.41028,0.81491,6.4641e-05,6.4641e-05,6.4641e-05
88,2128.39,0.63025,0.57354,0.98626,0.95101,0.88874,0.94728,0.86814,0.41649,0.40478,0.81265,6.03345e-05,6.03345e-05,6.03345e-05
89,2152.43,0.61893,0.55622,0.98891,0.9342,0.90291,0.94659,0.86384,0.41791,0.40961,0.8147,5.6028e-05,5.6028e-05,5.6028e-05
90,2176.62,0.62343,0.53694,0.98636,0.94868,0.89323,0.9438,0.86305,0.42198,0.38908,0.81459,5.17215e-05,5.17215e-05,5.17215e-05
91,2200.59,0.44797,0.31593,0.85659,0.94711,0.88256,0.94565,0.86786,0.42485,0.39713,0.81516,4.7415e-05,4.7415e-05,4.7415e-05
92,2223.37,0.42963,0.30219,0.84282,0.90997,0.90953,0.94687,0.86749,0.41898,0.38984,0.81448,4.31085e-05,4.31085e-05,4.31085e-05
93,2245.64,0.43724,0.30007,0.84474,0.92073,0.91389,0.94341,0.85989,0.43005,0.39132,0.81676,3.8802e-05,3.8802e-05,3.8802e-05
94,2268.18,0.4219,0.29342,0.84126,0.956,0.88213,0.94123,0.86558,0.41236,0.38347,0.81117,3.44955e-05,3.44955e-05,3.44955e-05
95,2291.09,0.41019,0.28741,0.83738,0.93903,0.89387,0.94158,0.86099,0.42386,0.38216,0.81357,3.0189e-05,3.0189e-05,3.0189e-05
96,2313.92,0.41618,0.28939,0.8409,0.9324,0.90094,0.94627,0.86455,0.42705,0.3854,0.81408,2.58825e-05,2.58825e-05,2.58825e-05
97,2336.87,0.40785,0.28365,0.84072,0.94769,0.8923,0.95142,0.86597,0.41666,0.37941,0.81161,2.1576e-05,2.1576e-05,2.1576e-05
98,2358.88,0.40134,0.28375,0.83607,0.95312,0.88721,0.95028,0.87078,0.41283,0.37786,0.81267,1.72695e-05,1.72695e-05,1.72695e-05
99,2381.78,0.40519,0.2838,0.83743,0.95552,0.88588,0.94787,0.8635,0.41889,0.37933,0.81386,1.2963e-05,1.2963e-05,1.2963e-05
100,2404.67,0.39587,0.27726,0.83513,0.95456,0.88563,0.94715,0.87214,0.41016,0.37714,0.81101,8.6565e-06,8.6565e-06,8.6565e-06
